epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,137.275,1.37899,1.19844,1.47156,0.89786,0.87532,0.90395,0.64383,1.16884,1.07482,1.41252,0.005743,0.005743,0.005743
45,140.069,1.39213,1.19778,1.4913,0.90927,0.83999,0.92085,0.59251,1.40707,1.13885,1.58828,0.005644,0.005644,0.005644
46,143.654,1.39467,1.21564,1.45919,0.8825,0.72917,0.87341,0.59729,1.33227,1.42377,1.59889,0.005545,0.005545,0.005545
47,146.281,1.38479,1.29311,1.48635,0.89015,0.74257,0.90345,0.65145,1.21375,1.21188,1.55365,0.005446,0.005446,0.005446
48,149.021,1.44432,1.2929,1.57123,0.9158,0.81232,0.92544,0.62401,1.26049,1.06968,1.55206,0.005347,0.005347,0.005347
49,151.73,1.31904,1.15275,1.43418,0.86971,0.86749,0.922,0.63678,1.17075,1.16602,1.45424,0.005248,0.005248,0.005248
50,155.314,1.42142,1.24736,1.51223,0.83211,0.88091,0.90396,0.66893,1.03087,1.07846,1.33348,0.005149,0.005149,0.005149
51,158.243,1.36531,1.22999,1.51149,0.92442,0.91667,0.91517,0.64816,1.13429,1.12705,1.40108,0.00505,0.00505,0.00505
52,161.025,1.30584,1.09067,1.43844,0.88904,0.84118,0.9081,0.63271,1.16943,1.33315,1.41338,0.004951,0.004951,0.004951
53,163.705,1.23946,1.0642,1.37531,0.95163,0.91647,0.93735,0.69134,1.05251,1.10007,1.30987,0.004852,0.004852,0.004852
54,166.638,1.27808,1.10708,1.38644,0.93882,0.944,0.95784,0.66023,1.08867,1.18744,1.31576,0.004753,0.004753,0.004753
55,169.927,1.30886,1.16382,1.42534,0.99031,0.94008,0.95587,0.65122,1.07307,1.2211,1.30023,0.004654,0.004654,0.004654
56,172.669,1.21559,1.06922,1.36041,0.93855,0.85702,0.94779,0.67247,1.12195,1.17014,1.37832,0.004555,0.004555,0.004555
57,175.39,1.28013,1.05826,1.33934,0.85051,0.91492,0.97567,0.7064,1.03316,1.0181,1.29857,0.004456,0.004456,0.004456
58,178.103,1.23706,1.02912,1.35333,0.91542,0.82444,0.95809,0.70321,1.02306,0.99852,1.29989,0.004357,0.004357,0.004357
59,181.649,1.37735,1.1019,1.44234,0.90758,0.87268,0.91514,0.64291,1.13831,0.97413,1.39862,0.004258,0.004258,0.004258
60,184.475,1.31262,1.11395,1.41892,0.868,0.85417,0.9107,0.53515,1.30136,1.10005,1.47427,0.004159,0.004159,0.004159
61,187.072,1.2885,1.1132,1.41217,0.90437,0.81512,0.84994,0.59752,1.15842,1.08552,1.40989,0.00406,0.00406,0.00406
62,189.781,1.1716,1.00793,1.29316,0.839,0.91667,0.8981,0.62227,1.12852,1.01516,1.34761,0.003961,0.003961,0.003961
